id, name1, name2, name3, name4, name5, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
186,3,7,9,11,15,33/32,135/128,77/64,165/128,21/16,45/32,99/64,105/64,27/16,63/32,false,false,false,false,10,0,1,0,1,1,1,0,1,0,0,0,0,0,0
188,5,7,9,11,15,135/128,35/32,75/64,77/64,165/128,45/32,99/64,105/64,55/32,63/32,false,false,false,false,10,0,0,1,1,1,1,0,1,0,0,0,0,0,0
199,1,3,5,13,15,65/64,75/64,39/32,5/4,45/32,3/2,195/128,13/8,15/8,null/null,false,false,false,false,9,1,1,1,0,0,0,1,1,0,0,0,0,0,0
203,1,3,7,13,15,39/32,21/16,45/32,91/64,3/2,195/128,13/8,105/64,7/4,15/8,false,false,false,false,10,1,1,0,1,0,0,1,1,0,0,0,0,0,0
205,1,5,7,13,15,65/64,35/32,75/64,5/4,91/64,195/128,13/8,105/64,7/4,15/8,false,false,false,false,10,1,0,1,1,0,0,1,1,0,0,0,0,0,0
206,3,5,7,13,15,65/64,35/32,75/64,39/32,21/16,45/32,91/64,195/128,105/64,15/8,false,false,false,true,10,0,1,1,1,0,0,1,1,0,0,0,0,0,0
211,1,3,9,13,15,135/128,9/8,39/32,45/32,3/2,195/128,13/8,27/16,117/64,15/8,false,false,false,false,10,1,1,0,0,1,0,1,1,0,0,0,0,0,0
213,1,5,9,13,15,65/64,135/128,9/8,75/64,5/4,45/32,195/128,13/8,117/64,15/8,false,false,false,false,10,1,0,1,0,1,0,1,1,0,0,0,0,0,0
214,3,5,9,13,15,65/64,135/128,75/64,39/32,45/32,195/128,27/16,117/64,15/8,null/null,false,false,false,false,9,0,1,1,0,1,0,1,1,0,0,0,0,0,0
217,1,7,9,13,15,135/128,9/8,91/64,195/128,13/8,105/64,7/4,117/64,15/8,63/32,false,false,false,false,10,1,0,0,1,1,0,1,1,0,0,0,0,0,0
218,3,7,9,13,15,135/128,39/32,21/16,45/32,91/64,195/128,105/64,27/16,117/64,63/32,false,false,false,false,10,0,1,0,1,1,0,1,1,0,0,0,0,0,0
220,5,7,9,13,15,65/64,135/128,35/32,75/64,45/32,91/64,195/128,105/64,117/64,63/32,false,false,false,false,10,0,0,1,1,1,0,1,1,0,0,0,0,0,0
227,1,3,11,13,15,33/32,143/128,39/32,165/128,11/8,45/32,3/2,195/128,13/8,15/8,false,false,false,false,10,1,1,0,0,0,1,1,1,0,0,0,0,0,0
229,1,5,11,13,15,65/64,143/128,75/64,5/4,165/128,11/8,195/128,13/8,55/32,15/8,false,false,false,false,10,1,0,1,0,0,1,1,1,0,0,0,0,0,0
230,3,5,11,13,15,65/64,33/32,143/128,75/64,39/32,165/128,45/32,195/128,55/32,15/8,false,false,false,false,10,0,1,1,0,0,1,1,1,0,0,0,0,0,0
233,1,7,11,13,15,143/128,77/64,165/128,11/8,91/64,195/128,13/8,105/64,7/4,15/8,false,false,false,false,10,1,0,0,1,0,1,1,1,0,0,0,0,0,0
234,3,7,11,13,15,33/32,143/128,77/64,39/32,165/128,21/16,45/32,91/64,195/128,105/64,false,false,false,false,10,0,1,0,1,0,1,1,1,0,0,0,0,0,0
236,5,7,11,13,15,65/64,35/32,143/128,75/64,77/64,165/128,91/64,195/128,105/64,55/32,false,false,false,false,10,0,0,1,1,0,1,1,1,0,0,0,0,0,0
241,1,9,11,13,15,135/128,143/128,9/8,165/128,11/8,195/128,99/64,13/8,117/64,15/8,false,false,false,false,10,1,0,0,0,1,1,1,1,0,0,0,0,0,0
242,3,9,11,13,15,33/32,135/128,143/128,39/32,165/128,45/32,195/128,99/64,27/16,117/64,false,false,false,false,10,0,1,0,0,1,1,1,1,0,0,0,0,0,0
244,5,9,11,13,15,65/64,135/128,143/128,75/64,165/128,45/32,195/128,99/64,55/32,117/64,false,false,false,false,10,0,0,1,0,1,1,1,1,0,0,0,0,0,0
248,7,9,11,13,15,135/128,143/128,77/64,165/128,91/64,195/128,99/64,105/64,117/64,63/32,false,false,false,false,10,0,0,0,1,1,1,1,1,0,0,0,0,0,0
271,1,3,5,7,17,17/16,35/32,5/4,21/16,85/64,3/2,51/32,7/4,119/64,15/8,false,false,false,false,10,1,1,1,1,0,0,0,0,1,0,0,0,0,0
279,1,3,5,9,17,17/16,9/8,153/128,5/4,85/64,45/32,3/2,51/32,27/16,15/8,false,false,false,false,10,1,1,1,0,1,0,0,0,1,0,0,0,0,0
283,1,3,7,9,17,17/16,9/8,153/128,21/16,3/2,51/32,27/16,7/4,119/64,63/32,false,false,false,false,10,1,1,0,1,1,0,0,0,1,0,0,0,0,0
285,1,5,7,9,17,17/16,35/32,9/8,153/128,5/4,85/64,45/32,7/4,119/64,63/32,false,false,false,false,10,1,0,1,1,1,0,0,0,1,0,0,0,0,0
286,3,5,7,9,17,35/32,153/128,21/16,85/64,45/32,51/32,27/16,119/64,15/8,63/32,false,false,false,false,10,0,1,1,1,1,0,0,0,1,0,0,0,0,0
295,1,3,5,11,17,33/32,17/16,5/4,85/64,11/8,187/128,3/2,51/32,55/32,15/8,false,false,false,false,10,1,1,1,0,0,1,0,0,1,0,0,0,0,0
299,1,3,7,11,17,33/32,17/16,77/64,21/16,11/8,187/128,3/2,51/32,7/4,119/64,false,false,false,false,10,1,1,0,1,0,1,0,0,1,0,0,0,0,0
301,1,5,7,11,17,17/16,35/32,77/64,5/4,85/64,11/8,187/128,55/32,7/4,119/64,false,false,false,false,10,1,0,1,1,0,1,0,0,1,0,0,0,0,0
302,3,5,7,11,17,33/32,35/32,77/64,21/16,85/64,187/128,51/32,55/32,119/64,15/8,false,false,false,false,10,0,1,1,1,0,1,0,0,1,0,0,0,0,0
307,1,3,9,11,17,33/32,17/16,9/8,153/128,11/8,187/128,3/2,99/64,51/32,27/16,false,false,false,false,10,1,1,0,0,1,1,0,0,1,0,0,0,0,0
309,1,5,9,11,17,17/16,9/8,153/128,5/4,85/64,11/8,45/32,187/128,99/64,55/32,false,false,false,false,10,1,0,1,0,1,1,0,0,1,0,0,0,0,0
310,3,5,9,11,17,33/32,153/128,85/64,45/32,187/128,99/64,51/32,27/16,55/32,15/8,false,false,false,false,10,0,1,1,0,1,1,0,0,1,0,0,0,0,0
313,1,7,9,11,17,17/16,9/8,153/128,77/64,11/8,187/128,99/64,7/4,119/64,63/32,false,false,false,false,10,1,0,0,1,1,1,0,0,1,0,0,0,0,0
314,3,7,9,11,17,33/32,153/128,77/64,21/16,187/128,99/64,51/32,27/16,119/64,63/32,false,false,false,false,10,0,1,0,1,1,1,0,0,1,0,0,0,0,0
316,5,7,9,11,17,35/32,153/128,77/64,85/64,45/32,187/128,99/64,55/32,119/64,63/32,false,false,false,false,10,0,0,1,1,1,1,0,0,1,0,0,0,0,0
327,1,3,5,13,17,65/64,17/16,39/32,5/4,85/64,3/2,51/32,13/8,221/128,15/8,false,false,false,false,10,1,1,1,0,0,0,1,0,1,0,0,0,0,0
331,1,3,7,13,17,17/16,39/32,21/16,91/64,3/2,51/32,13/8,221/128,7/4,119/64,false,false,false,false,10,1,1,0,1,0,0,1,0,1,0,0,0,0,0
333,1,5,7,13,17,65/64,17/16,35/32,5/4,85/64,91/64,13/8,221/128,7/4,119/64,false,false,false,false,10,1,0,1,1,0,0,1,0,1,0,0,0,0,0
334,3,5,7,13,17,65/64,35/32,39/32,21/16,85/64,91/64,51/32,221/128,119/64,15/8,false,false,false,false,10,0,1,1,1,0,0,1,0,1,0,0,0,0,0
339,1,3,9,13,17,17/16,9/8,153/128,39/32,3/2,51/32,13/8,27/16,221/128,117/64,false,false,false,false,10,1,1,0,0,1,0,1,0,1,0,0,0,0,0
341,1,5,9,13,17,65/64,17/16,9/8,153/128,5/4,85/64,45/32,13/8,221/128,117/64,false,false,false,false,10,1,0,1,0,1,0,1,0,1,0,0,0,0,0
342,3,5,9,13,17,65/64,153/128,39/32,85/64,45/32,51/32,27/16,221/128,117/64,15/8,false,false,false,false,10,0,1,1,0,1,0,1,0,1,0,0,0,0,0
345,1,7,9,13,17,17/16,9/8,153/128,91/64,13/8,221/128,7/4,117/64,119/64,63/32,false,false,false,false,10,1,0,0,1,1,0,1,0,1,0,0,0,0,0
346,3,7,9,13,17,153/128,39/32,21/16,91/64,51/32,27/16,221/128,117/64,119/64,63/32,false,false,false,false,10,0,1,0,1,1,0,1,0,1,0,0,0,0,0
348,5,7,9,13,17,65/64,35/32,153/128,85/64,45/32,91/64,221/128,117/64,119/64,63/32,false,false,false,false,10,0,0,1,1,1,0,1,0,1,0,0,0,0,0
355,1,3,11,13,17,33/32,17/16,143/128,39/32,11/8,187/128,3/2,51/32,13/8,221/128,false,false,false,false,10,1,1,0,0,0,1,1,0,1,0,0,0,0,0
357,1,5,11,13,17,65/64,17/16,143/128,5/4,85/64,11/8,187/128,13/8,55/32,221/128,false,false,false,false,10,1,0,1,0,0,1,1,0,1,0,0,0,0,0
358,3,5,11,13,17,65/64,33/32,143/128,39/32,85/64,187/128,51/32,55/32,221/128,15/8,false,false,false,false,10,0,1,1,0,0,1,1,0,1,0,0,0,0,0
361,1,7,11,13,17,17/16,143/128,77/64,11/8,91/64,187/128,13/8,221/128,7/4,119/64,false,false,false,false,10,1,0,0,1,0,1,1,0,1,0,0,0,0,0
362,3,7,11,13,17,33/32,143/128,77/64,39/32,21/16,91/64,187/128,51/32,221/128,119/64,false,false,false,false,10,0,1,0,1,0,1,1,0,1,0,0,0,0,0
364,5,7,11,13,17,65/64,35/32,143/128,77/64,85/64,91/64,187/128,55/32,221/128,119/64,false,false,false,false,10,0,0,1,1,0,1,1,0,1,0,0,0,0,0
369,1,9,11,13,17,17/16,143/128,9/8,153/128,11/8,187/128,99/64,13/8,221/128,117/64,false,false,false,false,10,1,0,0,0,1,1,1,0,1,0,0,0,0,0
370,3,9,11,13,17,33/32,143/128,153/128,39/32,187/128,99/64,51/32,27/16,221/128,117/64,false,false,false,false,10,0,1,0,0,1,1,1,0,1,0,0,0,0,0
372,5,9,11,13,17,65/64,143/128,153/128,85/64,45/32,187/128,99/64,55/32,221/128,117/64,false,false,false,false,10,0,0,1,0,1,1,1,0,1,0,0,0,0,0
376,7,9,11,13,17,143/128,153/128,77/64,91/64,187/128,99/64,221/128,117/64,119/64,63/32,false,false,false,false,10,0,0,0,1,1,1,1,0,1,0,0,0,0,0
391,1,3,5,15,17,17/16,75/64,5/4,85/64,45/32,3/2,51/32,15/8,255/128,null/null,false,false,false,false,9,1,1,1,0,0,0,0,1,1,0,0,0,0,0
