id, name1, name2, name3, name4, note1, note2, note3, note4, note5, note 6, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
153,1,7,9,15,135/128,9/8,105/64,7/4,15/8,63/32,false,true,false,false,6,1,0,0,1,1,0,0,1,0,0,0,0,0,0
154,3,7,9,15,135/128,21/16,45/32,105/64,27/16,63/32,false,true,false,false,6,0,1,0,1,1,0,0,1,0,0,0,0,0,0
156,5,7,9,15,135/128,35/32,75/64,45/32,105/64,63/32,false,true,false,false,6,0,0,1,1,1,0,0,1,0,0,0,0,0,0
163,1,3,11,15,33/32,165/128,11/8,45/32,3/2,15/8,false,true,false,true,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0
165,1,5,11,15,75/64,5/4,165/128,11/8,55/32,15/8,false,true,false,false,6,1,0,1,0,0,1,0,1,0,0,0,0,0,0
166,3,5,11,15,33/32,75/64,165/128,45/32,55/32,15/8,false,true,false,false,6,0,1,1,0,0,1,0,1,0,0,0,0,0,0
169,1,7,11,15,77/64,165/128,11/8,105/64,7/4,15/8,false,true,false,true,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0
170,3,7,11,15,33/32,77/64,165/128,21/16,45/32,105/64,false,true,false,true,6,0,1,0,1,0,1,0,1,0,0,0,0,0,0
172,5,7,11,15,35/32,75/64,77/64,165/128,105/64,55/32,false,true,false,false,6,0,0,1,1,0,1,0,1,0,0,0,0,0,0
177,1,9,11,15,135/128,9/8,165/128,11/8,99/64,15/8,false,true,false,false,6,1,0,0,0,1,1,0,1,0,0,0,0,0,0
178,3,9,11,15,33/32,135/128,165/128,45/32,99/64,27/16,false,true,false,false,6,0,1,0,0,1,1,0,1,0,0,0,0,0,0
180,5,9,11,15,135/128,75/64,165/128,45/32,99/64,55/32,false,true,false,true,6,0,0,1,0,1,1,0,1,0,0,0,0,0,0
184,7,9,11,15,135/128,77/64,165/128,99/64,105/64,63/32,true,true,false,false,6,0,0,0,1,1,1,0,1,0,0,0,0,0,0
195,1,3,13,15,39/32,45/32,3/2,195/128,13/8,15/8,false,true,false,true,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0
197,1,5,13,15,65/64,75/64,5/4,195/128,13/8,15/8,true,true,false,true,6,1,0,1,0,0,0,1,1,0,0,0,0,0,0
198,3,5,13,15,65/64,75/64,39/32,45/32,195/128,15/8,false,true,false,false,6,0,1,1,0,0,0,1,1,0,0,0,0,0,0
201,1,7,13,15,91/64,195/128,13/8,105/64,7/4,15/8,false,true,false,true,6,1,0,0,1,0,0,1,1,0,0,0,0,0,0
202,3,7,13,15,39/32,21/16,45/32,91/64,195/128,105/64,false,true,false,true,6,0,1,0,1,0,0,1,1,0,0,0,0,0,0
204,5,7,13,15,65/64,35/32,75/64,91/64,195/128,105/64,false,true,false,true,6,0,0,1,1,0,0,1,1,0,0,0,0,0,0
209,1,9,13,15,135/128,9/8,195/128,13/8,117/64,15/8,false,true,false,false,6,1,0,0,0,1,0,1,1,0,0,0,0,0,0
210,3,9,13,15,135/128,39/32,45/32,195/128,27/16,117/64,false,true,false,false,6,0,1,0,0,1,0,1,1,0,0,0,0,0,0
212,5,9,13,15,65/64,135/128,75/64,45/32,195/128,117/64,false,true,false,false,6,0,0,1,0,1,0,1,1,0,0,0,0,0,0
216,7,9,13,15,135/128,91/64,195/128,105/64,117/64,63/32,false,true,false,false,6,0,0,0,1,1,0,1,1,0,0,0,0,0,0
225,1,11,13,15,143/128,165/128,11/8,195/128,13/8,15/8,false,true,false,true,6,1,0,0,0,0,1,1,1,0,0,0,0,0,0
226,3,11,13,15,33/32,143/128,39/32,165/128,45/32,195/128,false,true,false,true,6,0,1,0,0,0,1,1,1,0,0,0,0,0,0
228,5,11,13,15,65/64,143/128,75/64,165/128,195/128,55/32,false,true,false,false,6,0,0,1,0,0,1,1,1,0,0,0,0,0,0
232,7,11,13,15,143/128,77/64,165/128,91/64,195/128,105/64,false,true,false,true,6,0,0,0,1,0,1,1,1,0,0,0,0,0,0
240,9,11,13,15,135/128,143/128,165/128,195/128,99/64,117/64,true,true,false,false,6,0,0,0,0,1,1,1,1,0,0,0,0,0,0
263,1,3,5,17,17/16,5/4,85/64,3/2,51/32,15/8,false,true,false,true,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0
267,1,3,7,17,17/16,21/16,3/2,51/32,7/4,119/64,false,true,false,false,6,1,1,0,1,0,0,0,0,1,0,0,0,0,0
269,1,5,7,17,17/16,35/32,5/4,85/64,7/4,119/64,false,true,false,false,6,1,0,1,1,0,0,0,0,1,0,0,0,0,0
270,3,5,7,17,35/32,21/16,85/64,51/32,119/64,15/8,false,true,false,false,6,0,1,1,1,0,0,0,0,1,0,0,0,0,0
275,1,3,9,17,17/16,9/8,153/128,3/2,51/32,27/16,false,true,false,false,6,1,1,0,0,1,0,0,0,1,0,0,0,0,0
277,1,5,9,17,17/16,9/8,153/128,5/4,85/64,45/32,false,true,false,true,6,1,0,1,0,1,0,0,0,1,0,0,0,0,0
278,3,5,9,17,153/128,85/64,45/32,51/32,27/16,15/8,false,true,false,true,6,0,1,1,0,1,0,0,0,1,0,0,0,0,0
281,1,7,9,17,17/16,9/8,153/128,7/4,119/64,63/32,false,true,false,true,6,1,0,0,1,1,0,0,0,1,0,0,0,0,0
282,3,7,9,17,153/128,21/16,51/32,27/16,119/64,63/32,false,true,false,false,6,0,1,0,1,1,0,0,0,1,0,0,0,0,0
284,5,7,9,17,35/32,153/128,85/64,45/32,119/64,63/32,false,true,false,false,6,0,0,1,1,1,0,0,0,1,0,0,0,0,0
291,1,3,11,17,33/32,17/16,11/8,187/128,3/2,51/32,false,true,false,false,6,1,1,0,0,0,1,0,0,1,0,0,0,0,0
293,1,5,11,17,17/16,5/4,85/64,11/8,187/128,55/32,false,true,false,true,6,1,0,1,0,0,1,0,0,1,0,0,0,0,0
294,3,5,11,17,33/32,85/64,187/128,51/32,55/32,15/8,false,true,false,false,6,0,1,1,0,0,1,0,0,1,0,0,0,0,0
297,1,7,11,17,17/16,77/64,11/8,187/128,7/4,119/64,true,true,false,false,6,1,0,0,1,0,1,0,0,1,0,0,0,0,0
298,3,7,11,17,33/32,77/64,21/16,187/128,51/32,119/64,true,true,false,true,6,0,1,0,1,0,1,0,0,1,0,0,0,0,0
300,5,7,11,17,35/32,77/64,85/64,187/128,55/32,119/64,true,true,false,false,6,0,0,1,1,0,1,0,0,1,0,0,0,0,0
305,1,9,11,17,17/16,9/8,153/128,11/8,187/128,99/64,false,true,false,true,6,1,0,0,0,1,1,0,0,1,0,0,0,0,0
306,3,9,11,17,33/32,153/128,187/128,99/64,51/32,27/16,false,true,false,false,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0
308,5,9,11,17,153/128,85/64,45/32,187/128,99/64,55/32,false,true,false,true,6,0,0,1,0,1,1,0,0,1,0,0,0,0,0
312,7,9,11,17,153/128,77/64,187/128,99/64,119/64,63/32,true,true,false,false,6,0,0,0,1,1,1,0,0,1,0,0,0,0,0
323,1,3,13,17,17/16,39/32,3/2,51/32,13/8,221/128,false,true,false,false,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0
325,1,5,13,17,65/64,17/16,5/4,85/64,13/8,221/128,true,true,false,false,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0
326,3,5,13,17,65/64,39/32,85/64,51/32,221/128,15/8,false,true,false,false,6,0,1,1,0,0,0,1,0,1,0,0,0,0,0
329,1,7,13,17,17/16,91/64,13/8,221/128,7/4,119/64,false,true,false,false,6,1,0,0,1,0,0,1,0,1,0,0,0,0,0
330,3,7,13,17,39/32,21/16,91/64,51/32,221/128,119/64,false,true,false,true,6,0,1,0,1,0,0,1,0,1,0,0,0,0,0
332,5,7,13,17,65/64,35/32,85/64,91/64,221/128,119/64,false,true,false,true,6,0,0,1,1,0,0,1,0,1,0,0,0,0,0
337,1,9,13,17,17/16,9/8,153/128,13/8,221/128,117/64,false,true,false,true,6,1,0,0,0,1,0,1,0,1,0,0,0,0,0
338,3,9,13,17,153/128,39/32,51/32,27/16,221/128,117/64,false,true,false,false,6,0,1,0,0,1,0,1,0,1,0,0,0,0,0
340,5,9,13,17,65/64,153/128,85/64,45/32,221/128,117/64,false,true,false,false,6,0,0,1,0,1,0,1,0,1,0,0,0,0,0
344,7,9,13,17,153/128,91/64,221/128,117/64,119/64,63/32,false,true,false,false,6,0,0,0,1,1,0,1,0,1,0,0,0,0,0
353,1,11,13,17,17/16,143/128,11/8,187/128,13/8,221/128,false,true,false,false,6,1,0,0,0,0,1,1,0,1,0,0,0,0,0
354,3,11,13,17,33/32,143/128,39/32,187/128,51/32,221/128,false,true,false,true,6,0,1,0,0,0,1,1,0,1,0,0,0,0,0
356,5,11,13,17,65/64,143/128,85/64,187/128,55/32,221/128,false,true,false,false,6,0,0,1,0,0,1,1,0,1,0,0,0,0,0
360,7,11,13,17,143/128,77/64,91/64,187/128,221/128,119/64,true,true,false,true,6,0,0,0,1,0,1,1,0,1,0,0,0,0,0
368,9,11,13,17,143/128,153/128,187/128,99/64,221/128,117/64,false,true,false,false,6,0,0,0,0,1,1,1,0,1,0,0,0,0,0
387,1,3,15,17,17/16,45/32,3/2,51/32,15/8,255/128,false,true,false,false,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0
389,1,5,15,17,17/16,75/64,5/4,85/64,15/8,255/128,false,true,false,false,6,1,0,1,0,0,0,0,1,1,0,0,0,0,0
390,3,5,15,17,75/64,85/64,45/32,51/32,15/8,255/128,true,true,false,false,6,0,1,1,0,0,0,0,1,1,0,0,0,0,0
393,1,7,15,17,17/16,105/64,7/4,119/64,15/8,255/128,false,true,false,false,6,1,0,0,1,0,0,0,1,1,0,0,0,0,0
394,3,7,15,17,21/16,45/32,51/32,105/64,119/64,255/128,false,true,false,true,6,0,1,0,1,0,0,0,1,1,0,0,0,0,0
396,5,7,15,17,35/32,75/64,85/64,105/64,119/64,255/128,false,true,false,true,6,0,0,1,1,0,0,0,1,1,0,0,0,0,0
401,1,9,15,17,135/128,17/16,9/8,153/128,15/8,255/128,false,true,false,false,6,1,0,0,0,1,0,0,1,1,0,0,0,0,0
402,3,9,15,17,135/128,153/128,45/32,51/32,27/16,255/128,false,true,false,false,6,0,1,0,0,1,0,0,1,1,0,0,0,0,0
404,5,9,15,17,135/128,75/64,153/128,85/64,45/32,255/128,false,true,false,false,6,0,0,1,0,1,0,0,1,1,0,0,0,0,0
408,7,9,15,17,135/128,153/128,105/64,119/64,63/32,255/128,false,true,false,false,6,0,0,0,1,1,0,0,1,1,0,0,0,0,0
417,1,11,15,17,17/16,165/128,11/8,187/128,15/8,255/128,false,true,false,false,6,1,0,0,0,0,1,0,1,1,0,0,0,0,0
418,3,11,15,17,33/32,165/128,45/32,187/128,51/32,255/128,false,true,false,true,6,0,1,0,0,0,1,0,1,1,0,0,0,0,0
420,5,11,15,17,75/64,165/128,85/64,187/128,55/32,255/128,false,true,false,false,6,0,0,1,0,0,1,0,1,1,0,0,0,0,0
424,7,11,15,17,77/64,165/128,187/128,105/64,119/64,255/128,true,true,false,true,6,0,0,0,1,0,1,0,1,1,0,0,0,0,0
432,9,11,15,17,135/128,153/128,165/128,187/128,99/64,255/128,false,true,false,false,6,0,0,0,0,1,1,0,1,1,0,0,0,0,0
449,1,13,15,17,17/16,195/128,13/8,221/128,15/8,255/128,false,true,false,false,6,1,0,0,0,0,0,1,1,1,0,0,0,0,0
450,3,13,15,17,39/32,45/32,195/128,51/32,221/128,255/128,false,true,false,true,6,0,1,0,0,0,0,1,1,1,0,0,0,0,0
452,5,13,15,17,65/64,75/64,85/64,195/128,221/128,255/128,true,true,false,true,6,0,0,1,0,0,0,1,1,1,0,0,0,0,0
456,7,13,15,17,91/64,195/128,105/64,221/128,119/64,255/128,false,true,false,true,6,0,0,0,1,0,0,1,1,1,0,0,0,0,0
464,9,13,15,17,135/128,153/128,195/128,221/128,117/64,255/128,false,true,false,false,6,0,0,0,0,1,0,1,1,1,0,0,0,0,0
480,11,13,15,17,143/128,165/128,187/128,195/128,221/128,255/128,true,true,false,true,6,0,0,0,0,0,1,1,1,1,0,0,0,0,0
519,1,3,5,19,19/16,5/4,95/64,3/2,57/32,15/8,false,true,false,true,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0
523,1,3,7,19,133/128,19/16,21/16,3/2,7/4,57/32,true,true,false,false,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0
525,1,5,7,19,133/128,35/32,19/16,5/4,95/64,7/4,false,true,false,false,6,1,0,1,1,0,0,0,0,0,1,0,0,0,0
526,3,5,7,19,133/128,35/32,21/16,95/64,57/32,15/8,false,true,false,true,6,0,1,1,1,0,0,0,0,0,1,0,0,0,0
531,1,3,9,19,9/8,19/16,171/128,3/2,27/16,57/32,false,false,true,true,6,1,1,0,0,1,0,0,0,0,1,0,0,0,0
533,1,5,9,19,9/8,19/16,5/4,171/128,45/32,95/64,false,true,false,false,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0
534,3,5,9,19,171/128,45/32,95/64,27/16,57/32,15/8,false,true,false,true,6,0,1,1,0,1,0,0,0,0,1,0,0,0,0
537,1,7,9,19,133/128,9/8,19/16,171/128,7/4,63/32,false,true,false,false,6,1,0,0,1,1,0,0,0,0,1,0,0,0,0
538,3,7,9,19,133/128,21/16,171/128,27/16,57/32,63/32,false,true,false,false,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0
540,5,7,9,19,133/128,35/32,171/128,45/32,95/64,63/32,false,true,false,false,6,0,0,1,1,1,0,0,0,0,1,0,0,0,0
547,1,3,11,19,33/32,19/16,11/8,3/2,209/128,57/32,false,true,false,false,6,1,1,0,0,0,1,0,0,0,1,0,0,0,0
549,1,5,11,19,19/16,5/4,11/8,95/64,209/128,55/32,false,true,false,false,6,1,0,1,0,0,1,0,0,0,1,0,0,0,0
550,3,5,11,19,33/32,95/64,209/128,55/32,57/32,15/8,false,true,false,false,6,0,1,1,0,0,1,0,0,0,1,0,0,0,0
553,1,7,11,19,133/128,19/16,77/64,11/8,209/128,7/4,false,true,false,false,6,1,0,0,1,0,1,0,0,0,1,0,0,0,0
554,3,7,11,19,33/32,133/128,77/64,21/16,209/128,57/32,false,true,false,false,6,0,1,0,1,0,1,0,0,0,1,0,0,0,0
556,5,7,11,19,133/128,35/32,77/64,95/64,209/128,55/32,false,true,false,true,6,0,0,1,1,0,1,0,0,0,1,0,0,0,0
561,1,9,11,19,9/8,19/16,171/128,11/8,99/64,209/128,false,true,false,true,6,1,0,0,0,1,1,0,0,0,1,0,0,0,0
562,3,9,11,19,33/32,171/128,99/64,209/128,27/16,57/32,false,true,false,false,6,0,1,0,0,1,1,0,0,0,1,0,0,0,0
564,5,9,11,19,171/128,45/32,95/64,99/64,209/128,55/32,false,true,false,true,6,0,0,1,0,1,1,0,0,0,1,0,0,0,0
568,7,9,11,19,133/128,77/64,171/128,99/64,209/128,63/32,true,true,false,false,6,0,0,0,1,1,1,0,0,0,1,0,0,0,0
579,1,3,13,19,19/16,39/32,3/2,13/8,57/32,247/128,false,true,false,false,6,1,1,0,0,0,0,1,0,0,1,0,0,0,0
581,1,5,13,19,65/64,19/16,5/4,95/64,13/8,247/128,false,true,false,false,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0
582,3,5,13,19,65/64,39/32,95/64,57/32,15/8,247/128,false,true,false,false,6,0,1,1,0,0,0,1,0,0,1,0,0,0,0
585,1,7,13,19,133/128,19/16,91/64,13/8,7/4,247/128,false,true,false,false,6,1,0,0,1,0,0,1,0,0,1,0,0,0,0
586,3,7,13,19,133/128,39/32,21/16,91/64,57/32,247/128,false,true,false,false,6,0,1,0,1,0,0,1,0,0,1,0,0,0,0
588,5,7,13,19,65/64,133/128,35/32,91/64,95/64,247/128,false,true,false,false,6,0,0,1,1,0,0,1,0,0,1,0,0,0,0
593,1,9,13,19,9/8,19/16,171/128,13/8,117/64,247/128,false,true,false,true,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0
594,3,9,13,19,39/32,171/128,27/16,57/32,117/64,247/128,false,true,false,false,6,0,1,0,0,1,0,1,0,0,1,0,0,0,0
596,5,9,13,19,65/64,171/128,45/32,95/64,117/64,247/128,false,true,false,false,6,0,0,1,0,1,0,1,0,0,1,0,0,0,0
600,7,9,13,19,133/128,171/128,91/64,117/64,247/128,63/32,false,true,false,false,6,0,0,0,1,1,0,1,0,0,1,0,0,0,0
609,1,11,13,19,143/128,19/16,11/8,13/8,209/128,247/128,true,true,false,false,6,1,0,0,0,0,1,1,0,0,1,0,0,0,0
610,3,11,13,19,33/32,143/128,39/32,209/128,57/32,247/128,false,true,false,true,6,0,1,0,0,0,1,1,0,0,1,0,0,0,0
612,5,11,13,19,65/64,143/128,95/64,209/128,55/32,247/128,false,true,false,false,6,0,0,1,0,0,1,1,0,0,1,0,0,0,0
616,7,11,13,19,133/128,143/128,77/64,91/64,209/128,247/128,false,true,false,false,6,0,0,0,1,0,1,1,0,0,1,0,0,0,0
624,9,11,13,19,143/128,171/128,99/64,209/128,117/64,247/128,false,true,false,false,6,0,0,0,0,1,1,1,0,0,1,0,0,0,0
643,1,3,15,19,285/256,19/16,45/32,3/2,57/32,15/8,true,true,false,false,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0
645,1,5,15,19,285/256,75/64,19/16,5/4,95/64,15/8,false,true,false,false,6,1,0,1,0,0,0,0,1,0,1,0,0,0,0
646,3,5,15,19,285/256,75/64,45/32,95/64,57/32,15/8,true,true,false,true,6,0,1,1,0,0,0,0,1,0,1,0,0,0,0
649,1,7,15,19,133/128,285/256,19/16,105/64,7/4,15/8,false,true,false,true,6,1,0,0,1,0,0,0,1,0,1,0,0,0,0
650,3,7,15,19,133/128,285/256,21/16,45/32,105/64,57/32,true,true,false,false,6,0,1,0,1,0,0,0,1,0,1,0,0,0,0
652,5,7,15,19,133/128,35/32,285/256,75/64,95/64,105/64,false,true,false,false,6,0,0,1,1,0,0,0,1,0,1,0,0,0,0
657,1,9,15,19,135/128,285/256,9/8,19/16,171/128,15/8,false,true,false,false,6,1,0,0,0,1,0,0,1,0,1,0,0,0,0
658,3,9,15,19,135/128,285/256,171/128,45/32,27/16,57/32,true,true,false,true,6,0,1,0,0,1,0,0,1,0,1,0,0,0,0
660,5,9,15,19,135/128,285/256,75/64,171/128,45/32,95/64,false,true,false,true,6,0,0,1,0,1,0,0,1,0,1,0,0,0,0
664,7,9,15,19,133/128,135/128,285/256,171/128,105/64,63/32,false,true,false,false,6,0,0,0,1,1,0,0,1,0,1,0,0,0,0
673,1,11,15,19,285/256,19/16,165/128,11/8,209/128,15/8,false,true,false,false,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0
674,3,11,15,19,33/32,285/256,165/128,45/32,209/128,57/32,true,true,false,false,6,0,1,0,0,0,1,0,1,0,1,0,0,0,0
676,5,11,15,19,285/256,75/64,165/128,95/64,209/128,55/32,false,true,false,true,6,0,0,1,0,0,1,0,1,0,1,0,0,0,0
680,7,11,15,19,133/128,285/256,77/64,165/128,209/128,105/64,false,true,false,false,6,0,0,0,1,0,1,0,1,0,1,0,0,0,0
688,9,11,15,19,135/128,285/256,165/128,171/128,99/64,209/128,false,true,false,true,6,0,0,0,0,1,1,0,1,0,1,0,0,0,0
705,1,13,15,19,285/256,19/16,195/128,13/8,15/8,247/128,false,true,false,false,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0
706,3,13,15,19,285/256,39/32,45/32,195/128,57/32,247/128,true,true,false,false,6,0,1,0,0,0,0,1,1,0,1,0,0,0,0
708,5,13,15,19,65/64,285/256,75/64,95/64,195/128,247/128,false,true,false,false,6,0,0,1,0,0,0,1,1,0,1,0,0,0,0
712,7,13,15,19,133/128,285/256,91/64,195/128,105/64,247/128,false,true,false,false,6,0,0,0,1,0,0,1,1,0,1,0,0,0,0
720,9,13,15,19,135/128,285/256,171/128,195/128,117/64,247/128,false,true,false,true,6,0,0,0,0,1,0,1,1,0,1,0,0,0,0
