id, name1, name2, name3, name4, name5, name6, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, note11, note12, note13, note14, note15, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
252,5,7,9,11,13,15,65/64,135/128,35/32,143/128,75/64,77/64,165/128,45/32,91/64,195/128,99/64,105/64,55/32,117/64,63/32,false,false,false,false,15,0,0,1,1,1,1,1,1,0,0,0,0,0,0
287,1,3,5,7,9,17,17/16,35/32,9/8,153/128,5/4,21/16,85/64,45/32,3/2,51/32,27/16,7/4,119/64,15/8,63/32,false,false,false,false,15,1,1,1,1,1,0,0,0,1,0,0,0,0,0
303,1,3,5,7,11,17,33/32,17/16,35/32,77/64,5/4,21/16,85/64,11/8,187/128,3/2,51/32,55/32,7/4,119/64,15/8,false,false,false,false,15,1,1,1,1,0,1,0,0,1,0,0,0,0,0
311,1,3,5,9,11,17,33/32,17/16,9/8,153/128,5/4,85/64,11/8,45/32,187/128,3/2,99/64,51/32,27/16,55/32,15/8,false,false,false,false,15,1,1,1,0,1,1,0,0,1,0,0,0,0,0
315,1,3,7,9,11,17,33/32,17/16,9/8,153/128,77/64,21/16,11/8,187/128,3/2,99/64,51/32,27/16,7/4,119/64,63/32,false,false,false,false,15,1,1,0,1,1,1,0,0,1,0,0,0,0,0
317,1,5,7,9,11,17,17/16,35/32,9/8,153/128,77/64,5/4,85/64,11/8,45/32,187/128,99/64,55/32,7/4,119/64,63/32,false,false,false,false,15,1,0,1,1,1,1,0,0,1,0,0,0,0,0
318,3,5,7,9,11,17,33/32,35/32,153/128,77/64,21/16,85/64,45/32,187/128,99/64,51/32,27/16,55/32,119/64,15/8,63/32,false,false,false,false,15,0,1,1,1,1,1,0,0,1,0,0,0,0,0
335,1,3,5,7,13,17,65/64,17/16,35/32,39/32,5/4,21/16,85/64,91/64,3/2,51/32,13/8,221/128,7/4,119/64,15/8,false,false,false,false,15,1,1,1,1,0,0,1,0,1,0,0,0,0,0
343,1,3,5,9,13,17,65/64,17/16,9/8,153/128,39/32,5/4,85/64,45/32,3/2,51/32,13/8,27/16,221/128,117/64,15/8,false,false,false,false,15,1,1,1,0,1,0,1,0,1,0,0,0,0,0
347,1,3,7,9,13,17,17/16,9/8,153/128,39/32,21/16,91/64,3/2,51/32,13/8,27/16,221/128,7/4,117/64,119/64,63/32,false,false,false,false,15,1,1,0,1,1,0,1,0,1,0,0,0,0,0
349,1,5,7,9,13,17,65/64,17/16,35/32,9/8,153/128,5/4,85/64,45/32,91/64,13/8,221/128,7/4,117/64,119/64,63/32,false,false,false,false,15,1,0,1,1,1,0,1,0,1,0,0,0,0,0
350,3,5,7,9,13,17,65/64,35/32,153/128,39/32,21/16,85/64,45/32,91/64,51/32,27/16,221/128,117/64,119/64,15/8,63/32,false,false,false,false,15,0,1,1,1,1,0,1,0,1,0,0,0,0,0
359,1,3,5,11,13,17,65/64,33/32,17/16,143/128,39/32,5/4,85/64,11/8,187/128,3/2,51/32,13/8,55/32,221/128,15/8,false,false,false,false,15,1,1,1,0,0,1,1,0,1,0,0,0,0,0
363,1,3,7,11,13,17,33/32,17/16,143/128,77/64,39/32,21/16,11/8,91/64,187/128,3/2,51/32,13/8,221/128,7/4,119/64,false,false,false,false,15,1,1,0,1,0,1,1,0,1,0,0,0,0,0
365,1,5,7,11,13,17,65/64,17/16,35/32,143/128,77/64,5/4,85/64,11/8,91/64,187/128,13/8,55/32,221/128,7/4,119/64,false,false,false,false,15,1,0,1,1,0,1,1,0,1,0,0,0,0,0
366,3,5,7,11,13,17,65/64,33/32,35/32,143/128,77/64,39/32,21/16,85/64,91/64,187/128,51/32,55/32,221/128,119/64,15/8,false,false,false,false,15,0,1,1,1,0,1,1,0,1,0,0,0,0,0
371,1,3,9,11,13,17,33/32,17/16,143/128,9/8,153/128,39/32,11/8,187/128,3/2,99/64,51/32,13/8,27/16,221/128,117/64,false,false,false,false,15,1,1,0,0,1,1,1,0,1,0,0,0,0,0
373,1,5,9,11,13,17,65/64,17/16,143/128,9/8,153/128,5/4,85/64,11/8,45/32,187/128,99/64,13/8,55/32,221/128,117/64,false,false,false,false,15,1,0,1,0,1,1,1,0,1,0,0,0,0,0
374,3,5,9,11,13,17,65/64,33/32,143/128,153/128,39/32,85/64,45/32,187/128,99/64,51/32,27/16,55/32,221/128,117/64,15/8,false,false,false,false,15,0,1,1,0,1,1,1,0,1,0,0,0,0,0
